Species,Use,Order,Taxon,Family,Class,Type,Calc,BM,Tbmin,Mrmin,PBMR,Boutmax,Boutmean,Source,lat,ta,prec,IBE
Meles meles,Meles meles,CARNIVORA,Plac,NA,MAMMALIA,HIB,1,13000,28,NA,NA,NA,NA,Fowler & Racey 1988,51,NA,NA,
Mephitis mephitis,Mephitis mephitis,CARNIVORA,Plac,NA,MAMMALIA,DT,1,2880,26,NA,NA,20,7.8,Hwang et al. 2007,43.15,7.597,52.67,
Mesocricetus auratus,Mesocricetus auratus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,90,4,0.07,6,264,90,Lyman 1948; Pohl 1961,36.76,10.77,41.84,
Mesocricetus brandti,Mesocricetus brandti,RODENTIA,Plac,NA,MAMMALIA,HIB,1,150,NA,NA,NA,144,108,Goldman 1993 LITC,38.08,9.046,46.44,
Microcebus griseorufus,Microcebus griseorufus,PRIMATES,Plac,NA,MAMMALIA,HIB,1,50,6.5,NA,NA,61,43.1,"Dausmann et al 2012 (Book Austria), Kobbe ",-22.94,23.88,49.9,
Microcebus murinus,Microcebus murinus,PRIMATES,Plac,NA,MAMMALIA,DT,1,60,7.8,0.16,19,17.6,9.3,"Schmidt 2000, Perret et al 1998",-18.95,24.086,85.12,
Microcebus myoxinus,Microcebus myoxinus,PRIMATES,Plac,NA,MAMMALIA,DT,1,33,6.8,0.09,4.5,19.2,4.6,Schmidt et al 2000,-20.08,24.75,82.26,
Microcebus ravelobensis,Microcebus rufus,PRIMATES,Plac,NA,MAMMALIA,DT,1,63,25,NA,NA,7,5,Lovegrove et al 2012,-19.32,19.961,171.44,
Microdipodops pallidus,Microdipodops pallidus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,12,6,0.1,4.8,84,48,Brown & Bartholomew 1969,38.57,8.774,18.04,8.2
Microgale dobsoni,Microgale dobsoni,AFROSORICIDA,Plac,NA,MAMMALIA,DT,1,45,20,0.22,24,NA,NA,Stephenson & Racey 1993,-18.56,19.592,178.65,
Miniopterus schreibersii,Miniopterus schreibersii,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,15,5,NA,NA,288,NA,Hall 1982; Brown & Bernard 1994,5.87,19.874,74.56,
Mops condylurus,Mops condylurus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,29,13,NA,NA,NA,NA,Vivier & van der Merwe 2007,-5.77,24.36,92.42,
Mus musculus,Mus musculus,RODENTIA,Plac,NA,MAMMALIA,DT,1,37,16,0.7,47,11,5.9,Hudson & Scott 1979,50,NA,NA,
Muscardinus avellanarius,Muscardinus avellanarius,RODENTIA,Plac,NA,MAMMALIA,HIB,1,23.5,0,0.04,2,624,218,"Kayser 1939, 1964; Eisentraut 1956; Pretzlaff & Dausmann 2012",47.96,7.939,59.66,6
Myotis adversus,Myotis adversus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,7.8,9,NA,NA,192,NA,Kulzer et al. 1970,4.84,23.998,219.39,
Myotis lucifugus,Myotis lucifugus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,5.2,1.3,0.022,1,1152,314,Hock 1951; Jonasson & Willis 2012,43,NA,NA,2.4
Myotis myotis,Myotis myotis,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,25,2,0.04,3,2352,989,Pohl 1961; Harmata 1987; Koteja et al. 2001,47.44,9.102,58.21,
Myotis nattereri,Myotis nattereri,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,9,7,NA,NA,490,160,Hope & Jones 2012,46.05,8.323,53.52,
Myotis velifer,Myotis velifer,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,12,0.6,0.04,3,NA,NA,Tinkle & Patterson 1965; Riedesel & Williams 1976; ,27.11,18.004,56.05,
Myrmecobius fasciatus,Myrmecobius fasciatus,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,500,19.1,NA,NA,15.3,9.7,Cooper & Withers 2004,-33.82,14.404,58.51,
Ningaui yvonnae,Ningaui yvonnae,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,11,15.3,0.3,23,12.3,7.5,Geiser & Baudinette 1988,-31.98,17.651,21.92,
Notiosorex crawfordi,Notiosorex crawfordi,INSECTIVORA,Plac,NA,MAMMALIA,DT,1,4,27.4,1.42,43,NA,NA,Lindstedt 1980,31,NA,NA,
Nyctalus noctula,Nyctalus noctula,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,29,3,0.036,2,NA,192,Ransome 1990; Arlettaz et al. 2000,39.16,7.912,58.22,
Nycteris thebaica,Nycteris thebaica,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,11,27,NA,NA,NA,NA,Cory Toussaint & McKechnie 2012,1.28,22.622,68.05,
Nyctimene albiventer,Nyctimene albiventer,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,28,25.5,0.67,47,NA,NA,Bartholomew et al. 1970,-4.02,23.476,256.72,
Nyctophilus bifax,Nyctophilus bifax,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,7.3,0.046,3,129,27,"Stawski & Geiser 2010, 2011",-16.48,24.235,117.29,3
Nyctophilus geoffroyi,Nyctophilus geoffroyi,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,7,1.4,0.037,3,362,106,Geiser & Brigham 2000; Turbill & Geiser 2008,-27.37,20.844,35.11,3
Nyctophilus gouldi,Nyctophilus gouldi,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,2.3,0.052,4,259,106,Geiser & Brigham 2000; Turbill & Geiser 2008,-33.54,15.09,61.49,3
Perognathus californicus,Perognathus flavus,RODENTIA,Plac,NA,MAMMALIA,DT,1,21,15,0.15,15,15.4,11.1,"Tucker 1962, 1965",31.11,13.772,34.25,
Perognathus fasciatus,Perognathus fasciatus,RODENTIA,Plac,NA,MAMMALIA,DT,1,40,11,0.15,12,17,9.7,Wang & Hudson 1970,44.7,5.143,30.37,
Perognathus longimembris,Perognathus longimembris,RODENTIA,Plac,NA,MAMMALIA,HIB,1,8,4,NA,NA,112,NA,Bartholomew & Cade 1957; French 1977,35.77,11.484,20.68,
Perognathus parvus,Perognathus parvus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,24,2,0.05,3,192,120,MacMillen 1983,43.39,7.138,26.55,
Peromyscus boylii,Peromyscus boylii,RODENTIA,Plac,NA,MAMMALIA,DT,1,33,18,NA,NA,8.8,4.3,Morhardt 1970,32.94,11.274,30.57,
Peromyscus crinitus,Peromyscus crinitus,RODENTIA,Plac,NA,MAMMALIA,DT,1,20,17,NA,NA,9.5,4.6,Morhardt 1970,36.88,9.59,20.16,
Peromyscus eremicus,Peromyscus eremicus,RODENTIA,Plac,NA,MAMMALIA,DT,1,17,16,0.3,19,11.2,6.3,MacMillen 1965; Morhardt 1970,29,NA,NA,
Peromyscus gossypinus,Peromyscus gossypinus,RODENTIA,Plac,NA,MAMMALIA,DT,1,22,14,NA,NA,NA,4.9,Tannenbaum & Pivorun 1984,31.36,18.086,103.39,
Peromyscus leucopus,Peromyscus leucopus,RODENTIA,Plac,NA,MAMMALIA,DT,1,20,16.8,0.47,28,13,4.6,Hill 1975; Deavers & Hudson 1981; Tannenbaum & Pivorun 1988,33.49,13.026,64.42,
Peromyscus maniculatus,Peromyscus maniculatus,RODENTIA,Plac,NA,MAMMALIA,DT,1,18,13.4,0.55,28,10.8,7.3,McNab & Morrison 1963; Morhardt 1970; Geiser 1991,40.92,6.172,51.3,
Petaurus breviceps,Petaurus breviceps,DIPROTODONTIA,Mars,NA,MAMMALIA,DT,1,130,10.4,0.07,9.5,23,13,Fleming 1980; K_rtner and Geiser 2000,-20.7,21.121,111.14,
Petromyscus collinus,Petromyscus collinus,RODENTIA,Plac,NA,MAMMALIA,DT,1,19,18,NA,NA,NA,NA,Withers et al. 1980,-24.17,16.671,13.48,
Phodopus sungorus,Phodopus sungorus,RODENTIA,Plac,NA,MAMMALIA,DT,1,25,12.3,0.88,46,13.8,6.3,Ruf et al. 1993 (T. Ruf unpublished data),50.89,1.161,26.18,
Phyllotis darwini,Phyllotis darwini,RODENTIA,Plac,NA,MAMMALIA,DT,1,36,17.5,0.19,15,12,NA,Bozinovic & Marquet 1991,-30.74,8.992,29.86,
Pipistrellus pipistrellus,Pipistrellus pipistrellus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,7.4,3,0.024,1,NA,NA,Kayser 1964; Kulzer 1965,43.44,8.194,48,
Pipistrellus subflavus,Pipistrellus subflavus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,5,NA,NA,NA,1800,607,Brack & Twente 1985,31.01,14.798,86.64,1.5
Planigale gilesi,Planigale gilesi,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,8,14.3,0.36,25,15.3,8.8,Geiser & Baudinette 1988,-29.48,19.891,22.2,
Planigale ingrami,Planigale ingrami,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,7.6,NA,0.48,30,4,NA,Dawson & Wolfers 1978,-18.58,24.615,57.46,
Planigale maculata,Planigale maculata,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,13,19.6,0.4,40,1.8,NA,Morton & Lee 1978,-21.9,23.483,74.36,
Planigale tenuirostris,Planigale tenuirostris,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,7,NA,0.48,30,4,NA,Dawson & Wolfers 1978,-28.53,19.959,23.02,
Plecotus auritus,Plecotus auritus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,-2,NA,NA,NA,NA,Eisentraut 1934,44.65,4.677,50.42,
Proteles cristata,Proteles cristata,CARNIVORA,Plac,NA,MAMMALIA,DT,1,9000,31,NA,NA,NA,NA,Anderson 2004,-5.74,21.008,46.96,
Pseudantechinus macdonnellensis,Pseudantechinus macdonnellensis,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,31,15.9,NA,NA,14.3,5.8,Geiser & Pavey 2007,-22.83,23.879,25.14,
Reithrodontomys megalotis,Reithrodontomys megalotis,RODENTIA,Plac,NA,MAMMALIA,DT,1,8,13,0.3,12,10,4,Thompson 1985,33.28,11.244,40.68,
Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,23,9,NA,NA,432,104,Kulzer 1965; Park et al. 2000,38.48,10.869,59.9,4.3
Rhinolophus hipposideros,Rhinolophus hipposideros,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,6,NA,NA,NA,2064,427,Harmata 1987,31.68,9.632,51.75,
Rhinopoma microphyllum,Rhinopoma microphyllum,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,23,NA,NA,NA,NA,Kulzer 1965; Levin et al. 2010,18.84,24.761,26.62,
Saccostomus campestris,Saccostomus campestris,RODENTIA,Plac,NA,MAMMALIA,DT,1,71,25,0.35,56,6.8,2.7,Mzilikazi & Lovegrove 2002,-19.68,20.656,61.49,
