HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
3409	Animalia	Chordata	Mammalia	Rodentia	Muridae	Gerbillus	Gerbillus_gerbillus	Lesser Egyptian gerbil	NA	NA	NA	NA	4.1	NA	NA	NA	NA	30	NA	5.9	671	captivity	small	acceptable	NA	NA	0.237	29.7	310.35	36420434455542670
3410	Animalia	Chordata	Mammalia	Rodentia	Muridae	Gerbillus	Gerbillus_nanus	Baluchistan gerbil	NA	NA	22	NA	5	3	NA	NA	NA	18.5	NA	4.5	671	captivity	small	questionable	NA	NA	0.129	29.7	311.95	36420455610671
3411	Animalia	Chordata	Mammalia	Rodentia	Muridae	Gerbillus	Gerbillus_perpallidus	Pale gerbil	NA	NA	20	NA	4.5	NA	NA	2.24	17.2	50	NA	5.5	671	captivity	medium	acceptable	NA	NA	0.261	56.3	NA	36455671
3412	Animalia	Chordata	Mammalia	Rodentia	Muridae	Gerbillus	Gerbillus_pyramidum	Greater Egyptian gerbil	74	73	21	21	3.3	5	NA	2.5	11	37	0.0329	8.2	671	captivity	small	acceptable	NA	NA	0.454	108.5	309.25	3642043445557161e7
3413	Animalia	Chordata	Mammalia	Rodentia	Muridae	Grammomys	Grammomys_dolichurus	Woodland mouse	73	NA	24	25	3	NA	38	4.2	NA	60	0.0245	4.4	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671731
3414	Animalia	Chordata	Mammalia	Rodentia	Muridae	Hydromys	Hydromys_chrysogaster	Golden-bellied water rat	163	135	36	30	3.8	NA	60	24.39	150	850	0.0167	7.3	671	captivity	medium	acceptable	NA	NA	2.97	900	309.75	36420434455542603e12
3415	Animalia	Chordata	Mammalia	Rodentia	Muridae	Hypogeomys	Hypogeomys_antimena	Malagasy giant rat	730	365	120	35	1	NA	NA	NA	NA	1250	NA	12.6	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455646671
3416	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lagurus	Lagurus_lagurus	Steppe lemming	38	44	20	21	4.5	5	25	1.35	5.8	20.3	NA	3.8	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	455610671817
3417	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lasiopodomys	Lasiopodomys_brandtii	Brandts vole	61	NA	NA	NA	6	NA	NA	1.9	NA	40	NA	4.1	671	captivity	small	acceptable	NA	NA	0.428	40.2	NA	36455671
3418	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lemmus	Lemmus_lemmus	Norway lemming	24	44	19	15	7	NA	26	3.8	NA	70	0.022	3.3	671	captivity	small	acceptable	NA	NA	1.071	80	310.95	36420434455542602e9
3419	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lemniscomys	Lemniscomys_barbarus	Barbary striped grass mouse	NA	NA	NA	NA	4.6	NA	NA	NA	NA	26.2	NA	4.4	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	671730978
3420	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lemniscomys	Lemniscomys_striatus	Typical striped grass mouse	168	NA	25	30	4.54	2	22	1.7	15	42.3	NA	4.8	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434455610671680
3421	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lenothrix	Lenothrix_canus	Gray tree rat	NA	NA	NA	NA	3	NA	NA	NA	NA	177	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434671
3422	Animalia	Chordata	Mammalia	Rodentia	Muridae	Leporillus	Leporillus_conditor	Greater stick-nest rat	227	240	38	36	2.2	NA	NA	NA	NA	332.5	NA	5.3	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671680
3423	Animalia	Chordata	Mammalia	Rodentia	Muridae	Lophiomys	Lophiomys_imhausi	Crested rat	NA	NA	NA	40	1.75	NA	NA	NA	NA	755	NA	7.5	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455671
3424	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys_erythroleucus	Guinea multimammate mouse	137	NA	21	NA	6.5	NA	NA	NA	22.5	37.8	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455610671
3425	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_crassus	Sundevalls jird	61	82	22	20	4	2	67	3.35	NA	35	0.0366	5.6	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455671731
3426	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_libycus	Libyan jird	91	NA	26	30	5	NA	NA	5.33	45	100	NA	5.2	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434455610671
3427	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_meridianus	Mid-day jird	NA	NA	23	21	5.6	3	NA	NA	NA	53	NA	6.8	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	455610671
